CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,word_count,negative_score,positive_score,polarity_point,Avg_sent_lenght,complex_word_count,percentage_of_complex_words,uncertainty_score,constraining_score,fog_index,positive_word_proportion,negative_word_proportion,uncertainity_word_proportion,constraining_word_proportion,constraining_words_whole_report
3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt,89843,1065,2905,-0.46347607041222266,22.6704516780217,38884,0.432799439021404,940,1487,9.241300446817242,0.011854011998708858,0.0323341829636143,0.010462696036419087,0.01655109468739913,0.00022520994352637273
3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt,57980,585,1426,-0.4181999003390353,23.229166666666668,26057,0.44941359089341154,859,1046,9.471432103024032,0.010089686098654708,0.024594687823387376,0.014815453604691272,0.018040703690927907,0.00015841936847921042
3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt,581,2,8,-0.599999940000006,29.05,195,0.33562822719449226,9,5,11.754251290877797,0.0034423407917383822,0.013769363166953529,0.01549053356282272,0.008605851979345954,7.572627556367611e-07
3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt,45483,368,1402,-0.5841807906304063,18.31038647342995,20453,0.44968449750456213,553,716,7.504028388373806,0.008090935074643273,0.0308247037354616,0.012158388848580788,0.015742145416968976,0.00010844002660718419
3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt,704,3,8,-0.4545454132231443,28.16,221,0.31392045454545453,10,4,11.389568181818182,0.004261363636363636,0.011363636363636364,0.014204545454545454,0.005681818181818182,6.058102045094088e-07
3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt,8832,46,395,-0.7913832181601288,18.831556503198293,3867,0.43783967391304346,179,91,7.707758470844535,0.005208333333333333,0.04472373188405797,0.020267210144927536,0.010303442028985508,1.3782182152589051e-05
3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt,14947,125,579,-0.6448863627203318,19.929333333333332,6351,0.4249013179902322,279,271,8.141693860529427,0.008362882183715796,0.038736870274971566,0.018665953034053655,0.018130728574295846,4.104364135551245e-05
3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt,9326,62,354,-0.7019230752357618,18.764587525150905,4086,0.43812995925369935,201,105,7.681086993761842,0.006648080634784474,0.03795839588247909,0.021552648509543214,0.011258846236328545,1.5902517868371983e-05
3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt,648,2,6,-0.4999999375000079,28.17391304347826,200,0.30864197530864196,8,3,11.393022007514762,0.0030864197530864196,0.009259259259259259,0.012345679012345678,0.004629629629629629,4.543576533820566e-07
3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt,45325,408,1590,-0.5915915912954997,18.15178213856628,20443,0.4510314396028682,668,501,7.441125431267659,0.00900165471594043,0.035079977937120796,0.01473800330943188,0.01105350248207391,7.587772811480345e-05
3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt,648,2,6,-0.4999999375000079,29.454545454545453,204,0.3148148148148148,13,3,11.907744107744108,0.0030864197530864196,0.009259259259259259,0.020061728395061727,0.004629629629629629,4.543576533820566e-07
3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt,8646,69,368,-0.6842105247500904,18.51391862955032,3765,0.4354614850798057,204,82,7.579752045852051,0.007980569049271339,0.042563034929447144,0.02359472588480222,0.009484154522322461,1.2419109192442881e-05
3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt,608,2,5,-0.4285713673469475,30.4,182,0.2993421052631579,7,3,12.279736842105264,0.003289473684210526,0.008223684210526315,0.011513157894736841,0.004934210526315789,4.543576533820566e-07
3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt,13862,142,521,-0.5716440413700693,17.591370558375633,6100,0.4400519405569182,312,150,7.212568999573022,0.010243832058865964,0.037584764103304,0.02250757466455057,0.010820949357957004,2.271788266910283e-05
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt,34011,270,1272,-0.6498054470494128,18.256038647342994,15149,0.4454147187674576,665,336,7.480581346444182,0.00793860809738026,0.03739966481432478,0.019552497721325453,0.009879156743406545,5.088805717879034e-05
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001639.txt,14820,147,649,-0.6306532655393803,17.5177304964539,6559,0.44257759784075573,342,168,7.184123237717863,0.009919028340080972,0.04379217273954116,0.023076923076923078,0.011336032388663968,2.544402858939517e-05
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001640.txt,13332,110,630,-0.7027027017531045,18.13877551020408,5895,0.44216921692169214,316,156,7.432377890850309,0.00825082508250825,0.047254725472547256,0.023702370237023703,0.011701170117011701,2.3626597975866943e-05
3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001626.txt,570,3,3,0.0,28.5,179,0.3140350877192982,5,3,11.52561403508772,0.005263157894736842,0.005263157894736842,0.008771929824561403,0.005263157894736842,4.543576533820566e-07
3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001856.txt,18419,161,867,-0.6867704273474995,17.710576923076925,8273,0.4491557630707422,420,194,7.263893074459067,0.008740973994245073,0.04707095933546881,0.022802540854552366,0.010532602204245615,2.9381794918706328e-05
3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-002926.txt,38573,344,1240,-0.5656565652994592,18.2033978291647,16474,0.42708630389132296,640,523,7.452193653222409,0.008918155186270189,0.03214683846213673,0.016591916625618958,0.01355870686749799,7.920968423960521e-05
3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-004690.txt,5438,30,40,-0.14285714081632656,16.78395061728395,2259,0.4154100772342773,46,15,6.879744277807291,0.005516734093416698,0.00735564545788893,0.008458992276572269,0.002758367046708349,2.271788266910283e-06
3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-005244.txt,30618,196,1032,-0.6807817584032722,23.301369863013697,12788,0.41766281272454114,330,652,9.487613070295295,0.006401463191586648,0.033705663335292964,0.010777973740936704,0.02129466326997191,9.874706333503364e-05
3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007243.txt,11251,59,191,-0.527999997888,16.81763826606876,4579,0.406986045684828,164,74,6.889849724701435,0.005243978313038841,0.01697626877610879,0.014576482090480847,0.006577193138387699,1.1207488783424064e-05
3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-Q/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007244.txt,7953,31,116,-0.5782312885834606,15.842629482071713,3201,0.4024896265560166,102,63,6.498047643451092,0.0038979001634603296,0.014585690934238652,0.012825348924933987,0.007921539041870993,9.541510721023189e-06
3982,ALLIS CHALMERS ENERGY INC.,200608,2006-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007871.txt,9624,57,97,-0.2597402580536347,16.593103448275862,3922,0.407522859517872,145,67,6.800250523117494,0.0059226932668329174,0.010078969243557773,0.015066500415627598,0.006961762261014131,1.0147320925532598e-05
3982,ALLIS CHALMERS ENERGY INC.,200611,2006-11-08,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-009522.txt,12726,105,229,-0.37125748391839075,17.724233983286908,5420,0.4258997328304259,268,112,7.260053486446934,0.00825082508250825,0.017994656608517994,0.021059248782021058,0.0088008800880088,1.696268572626345e-05
3982,ALLIS CHALMERS ENERGY INC.,200612,2006-12-29,10-Q/A,https://www.sec.gov/Archives/edgar/data/3982/0000950134-06-023819.txt,32905,234,738,-0.5185185179850632,14.269297484822204,11841,0.35985412551284,266,374,5.851660644134018,0.007111381249050296,0.022428202400850934,0.008083877830117003,0.01136605379121714,5.6643254121629724e-05
3982,ALLIS CHALMERS ENERGY INC.,200703,2007-03-15,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-001381.txt,31635,285,709,-0.42655935570768677,16.597586568730325,12909,0.4080606922712186,712,271,6.802258904400617,0.009009009009009009,0.022411885569780306,0.02250671724355935,0.008566461198040146,4.104364135551245e-05
3982,ALLIS CHALMERS ENERGY INC.,200705,2007-05-10,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-002432.txt,53542,385,1575,-0.6071428568330903,24.216191768430573,23447,0.43791789623099625,545,1305,9.861643865864629,0.007190616712113854,0.029416159276829404,0.010178924956109222,0.02437338911508722,0.00019764557922119464
3982,ALLIS CHALMERS ENERGY INC.,200708,2007-08-09,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-003918.txt,9603,66,121,-0.2941176454860019,17.62018348623853,3891,0.4051858794126835,127,66,7.210147746260486,0.006872852233676976,0.012600229095074456,0.013225033843590545,0.006872852233676976,9.995868374405245e-06
3982,ALLIS CHALMERS ENERGY INC.,200711,2007-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-005361.txt,17676,171,363,-0.3595505611244372,18.222680412371133,7761,0.43906992532247113,206,167,7.464700135077442,0.009674134419551934,0.02053632043448744,0.011654220411857886,0.009447838877574112,2.529257603826782e-05
3982,ALLIS CHALMERS ENERGY INC.,200803,2008-03-07,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-08-001569.txt,33226,302,678,-0.38367346899625154,17.038974358974357,13128,0.3951122614819719,744,300,6.973634648182532,0.009089267441160537,0.020405706374525975,0.02239210257027629,0.009029073617046891,4.543576533820566e-05
3982,ALLIS CHALMERS ENERGY INC.,200804,2008-04-29,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-08-002507.txt,12192,105,164,-0.21933085420323103,18.472727272727273,5293,0.43413713910761154,78,94,7.562745764733954,0.00861220472440945,0.013451443569553806,0.0063976377952755905,0.00770997375328084,1.4236539805971107e-05
4447,AMERADA HESS CORP,200311,2003-11-12,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-03-012528.txt,7407,53,177,-0.5391304324385633,17.346604215456676,3159,0.4264884568651276,99,85,7.109237068928721,0.0071553935466450655,0.02389631429728635,0.013365735115431349,0.011475631159713784,1.2873466845824938e-05
4447,AMERADA HESS CORP,200403,2004-03-12,10-K,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-003250.txt,59155,184,454,-0.42319749149969044,20.405312176612625,10180,0.17209027132110558,329,277,8.230960979173494,0.003110472487532753,0.007674752768151467,0.005561660045642802,0.004682613473079199,4.1952356662276564e-05
4447,AMERADA HESS CORP,200403,2004-03-15,10-K/A,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-003322.txt,2563,26,35,-0.14754098118785278,18.049295774647888,933,0.36402653140850566,19,34,7.365328922422558,0.010144362075692548,0.013655872024970737,0.0074131876706984,0.013265704252828716,5.149386738329975e-06
4447,AMERADA HESS CORP,200405,2004-05-07,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-005950.txt,5247,35,92,-0.4488188941037882,17.548494983277592,2172,0.41395082904516867,62,41,7.184978324929105,0.006670478368591576,0.017533828854583572,0.011816275967219363,0.007813988946064417,6.2095545962214405e-06
4447,AMERADA HESS CORP,200408,2004-08-06,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-009350.txt,6013,42,126,-0.49999999702380954,18.388379204892967,2450,0.4074505238649593,67,41,7.518331891503171,0.006984866123399301,0.020954598370197905,0.0111425245301846,0.00681855978712789,6.2095545962214405e-06
4447,AMERADA HESS CORP,200411,2004-11-05,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-013054.txt,9951,63,200,-0.520912545547861,20.73125,4039,0.40588885539141795,100,114,8.454855542156567,0.006331022007838408,0.020098482564566374,0.010049241282283187,0.011456135061802835,1.726559082851815e-05
4447,AMERADA HESS CORP,200503,2005-03-14,10-K,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-003078.txt,54148,396,1212,-0.5074626862515779,19.167433628318584,23373,0.431650291792864,717,1075,7.8396335680445794,0.007313289502844057,0.022383098175371204,0.013241486296816134,0.01985299549383172,0.00016281149246190362
4447,AMERADA HESS CORP,200505,2005-05-06,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-005767.txt,5504,35,81,-0.3965517207193817,19.244755244755243,2254,0.4095203488372093,57,37,7.861710237436981,0.006359011627906977,0.01471656976744186,0.01035610465116279,0.006722383720930232,5.603744391712032e-06
4447,AMERADA HESS CORP,200508,2005-08-05,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-009475.txt,6341,45,133,-0.49438201969448303,19.04204204204204,2600,0.4100299637281186,63,44,7.780828802308064,0.007096672449140514,0.0209746096830153,0.009935341428796719,0.006938968616937391,6.663912249603497e-06
4447,AMERADA HESS CORP,200511,2005-11-07,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-013153.txt,6068,39,92,-0.40458014958335764,19.895081967213116,2556,0.42122610415293343,57,42,8.12652322854642,0.006427158866183257,0.015161502966381015,0.009393539881344759,0.006921555702043507,6.3610071473487924e-06
4457,AMERCO /NV/,199911,1999-11-08,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-99-000043.txt,6096,28,100,-0.5624999956054688,15.91644908616188,2630,0.4314304461942257,51,31,6.539151812942443,0.004593175853018373,0.016404199475065617,0.008366141732283465,0.005085301837270341,4.695029084947919e-06
4457,AMERCO /NV/,200002,2000-02-10,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000018.txt,5772,29,99,-0.5468749957275391,15.6,2553,0.4423076923076923,46,34,6.4169230769230765,0.005024255024255024,0.017151767151767153,0.00796950796950797,0.00589050589050589,5.149386738329975e-06
4457,AMERCO /NV/,200006,2000-06-29,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000067.txt,50318,486,1133,-0.3996294006178941,16.834392773502845,21721,0.4316745498628721,577,463,6.906426929346288,0.009658571485353155,0.02251679319527803,0.011467069438371955,0.009201478596128621,7.012253117196407e-05
4457,AMERCO /NV/,200008,2000-08-11,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000080.txt,3831,22,63,-0.4823529355017302,17.81860465116279,1627,0.424693291568781,30,23,7.2973191770926285,0.005742625946228139,0.01644479248238058,0.007830853563038372,0.006003654398329418,3.483408675929101e-06
4457,AMERCO /NV/,200011,2000-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000105.txt,10908,71,238,-0.5404530726846178,16.602739726027398,4290,0.3932893289328933,98,79,6.798411621984117,0.006508984231756509,0.02181884855152182,0.008984231756508984,0.007242390905757242,1.1964751539060824e-05
4457,AMERCO /NV/,200102,2001-02-14,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500024.txt,9102,58,231,-0.5986159148836819,15.802083333333334,3683,0.4046363436607339,81,55,6.482687870797628,0.0063722258844210065,0.025379037574159526,0.008899143045484509,0.006042627993847506,8.329890312004372e-06
4457,AMERCO /NV/,200107,2001-07-02,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500063.txt,18323,121,408,-0.5425330802598618,16.657272727272726,7475,0.4079572122469028,206,121,6.826091975807852,0.006603722097909731,0.02226709599956339,0.011242700431152103,0.006603722097909731,1.8325758686409617e-05
4457,AMERCO /NV/,200107,2001-07-02,NT 10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500060.txt,650,2,10,-0.6666666111111158,22.413793103448278,204,0.31384615384615383,6,5,9.091055702917773,0.003076923076923077,0.015384615384615385,0.009230769230769232,0.007692307692307693,7.572627556367611e-07
4457,AMERCO /NV/,200108,2001-08-10,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500081.txt,3433,16,48,-0.49999999218750013,15.967441860465117,1498,0.4363530439848529,40,27,6.561517961779988,0.00466064666472473,0.013981939994174191,0.011651616661811826,0.007864841246722983,4.0892188804385094e-06
4457,AMERCO /NV/,200108,2001-08-10,10-Q/A,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500083.txt,4682,22,136,-0.7215189827751963,15.92517006802721,2065,0.4410508329773601,38,19,6.5464883604018285,0.004698846646732166,0.029047415634344296,0.008116189662537377,0.004058094831268688,2.877598471419692e-06
4515,AMERICAN AIRLINES INC,200810,2008-10-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-08-000073.txt,17612,130,751,-0.7048808164530297,18.063589743589745,8943,0.5077787871905519,311,274,7.42854741231212,0.007381330910742675,0.042641380876674996,0.017658414717238245,0.015557574381103794,4.149799900889451e-05
4515,AMERICAN AIRLINES INC,200902,2009-02-19,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000008.txt,69734,697,2533,-0.5684210524555973,14.345607899609133,36321,0.520850661083546,865,794,5.9465834242770725,0.009995124329595319,0.0363237445148708,0.01240427911779046,0.011386124415636563,0.00012025332559511766
4515,AMERICAN AIRLINES INC,200904,2009-04-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000018.txt,7710,84,387,-0.6433121005449849,20.130548302872064,3292,0.42697795071335926,166,105,8.22301050143417,0.010894941634241245,0.05019455252918288,0.02153047989623865,0.013618677042801557,1.5902517868371983e-05
4515,AMERICAN AIRLINES INC,200907,2009-07-15,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000029.txt,23094,236,960,-0.6053511700624153,20.081739130434784,10521,0.45557287607170693,471,379,8.214924802602596,0.010219104529314973,0.04156923876331515,0.020394907768251494,0.016411189053433792,5.7400516877266485e-05
4515,AMERICAN AIRLINES INC,200910,2009-10-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000039.txt,12160,144,594,-0.6097560967347478,18.970358814352576,5520,0.45394736842105265,305,174,7.769722473109451,0.011842105263157895,0.048848684210526315,0.025082236842105265,0.014309210526315789,2.6352743896159283e-05
4515,AMERICAN AIRLINES INC,200911,2009-11-06,10-Q/A,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000041.txt,2304,6,78,-0.8571428469387756,20.38938053097345,1229,0.5334201388888888,17,30,8.369120267944936,0.0026041666666666665,0.033854166666666664,0.007378472222222222,0.013020833333333334,4.543576533820566e-06
4515,AMERICAN AIRLINES INC,201002,2010-02-17,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000006.txt,27766,338,941,-0.4714620793811868,17.192569659442725,12637,0.45512497298854715,593,364,7.059077852972509,0.012173161420442268,0.03389036951667507,0.02135705539148599,0.01310955845278398,5.5128728610356203e-05
4515,AMERICAN AIRLINES INC,201004,2010-04-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000016.txt,7958,91,368,-0.6034858374651725,19.796019900497512,3434,0.43151545614476,151,94,8.091014142656908,0.011435033928122644,0.046242774566473986,0.018974616737873838,0.011812013068610204,1.4236539805971107e-05
4515,AMERICAN AIRLINES INC,201007,2010-07-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-066865.txt,167679,189,4312,-0.9160186623159255,43.21623711340206,27317,0.1629124696592895,380,281,17.35165983322454,0.0011271536686168215,0.025715802217331926,0.002266234889282498,0.0016758210628641632,4.255816686678597e-05
4515,AMERICAN AIRLINES INC,201010,2010-10-20,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-094615.txt,100459,180,4095,-0.9157894734699907,79.1015748031496,17960,0.1787794025423307,310,246,31.712141682276776,0.001791775749310664,0.040762898296817604,0.0030858360127016993,0.002448760190724574,3.7257327577328645e-05
4962,AMERICAN EXPRESS CO,201404,2014-04-29,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-167067.txt,1593300,6347,2400,0.45124042523708235,187.20479379626366,47039,0.029523002573275593,770,678,74.89372671953478,0.003983556141341869,0.0015063076633402373,0.0004832737086549928,0.000425531914893617,0.0001026848296643448
4962,AMERICAN EXPRESS CO,201407,2014-07-30,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-286961.txt,1931199,6697,2550,0.44846977393225157,197.3430410790926,48939,0.025341251730142778,799,648,78.9473529323291,0.0034677938420639197,0.0013204232189432574,0.0004137326086022207,0.00033554284151969836,9.814125313052423e-05
5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000930661-96-001510.txt,4698,25,81,-0.5283018818084728,12.395778364116095,1939,0.4127288207747978,54,25,5.1234028739563575,0.005321413367390379,0.017241379310344827,0.011494252873563218,0.005321413367390379,3.786313778183805e-06
5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-002428.txt,29861,350,829,-0.40627650516855257,17.240762124711317,12736,0.4265094939888148,350,358,7.066908647480052,0.011720973845484076,0.027761963765446568,0.011720973845484076,0.01198888181909514,5.4220013303592094e-05
5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-003934.txt,3775,26,24,0.03999999920000002,21.947674418604652,1483,0.3928476821192053,59,16,8.936208840289543,0.006887417218543046,0.006357615894039735,0.015629139072847683,0.00423841059602649,2.4232408180376354e-06
5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-006223.txt,7486,70,150,-0.3636363619834711,14.451737451737452,3239,0.4326743254074272,100,57,5.953764710857953,0.009350788137857334,0.02003740315255143,0.013358268768367619,0.007614213197969543,8.632795414259075e-06
5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-008577.txt,3909,21,28,-0.14285713994169102,22.859649122807017,1636,0.41852136096188286,60,20,9.31126819350756,0.005372217958557176,0.007162957278076234,0.015349194167306216,0.005116398055768739,3.0290510225470443e-06
5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-002477.txt,20667,195,299,-0.21052631536330704,17.83175150992235,8622,0.4171868195674263,256,141,7.299575331795911,0.009435331688198578,0.014467508588571152,0.012386896985532492,0.006822470605312818,2.1354809708956662e-05
5588,AMERICAN PAD & PAPER CO,199805,1998-05-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-004241.txt,3430,24,30,-0.11111110905349798,20.29585798816568,1345,0.39212827988338195,50,19,8.275194507219625,0.006997084548104956,0.008746355685131196,0.014577259475218658,0.0055393586005830905,2.877598471419692e-06
5588,AMERICAN PAD & PAPER CO,199808,1998-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-006988.txt,9007,75,176,-0.4023904366438628,17.66078431372549,3571,0.3964694126790274,87,78,7.222901490561807,0.008326856889086267,0.01954035749972244,0.00965915399134007,0.008659931164649717,1.1813298987933472e-05
5588,AMERICAN PAD & PAPER CO,199811,1998-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000008.txt,8412,75,191,-0.43609022392447283,19.56279069767442,3568,0.4241559676652401,114,86,7.994778666135864,0.00891583452211127,0.022705658582976698,0.01355206847360913,0.010223490252020923,1.302491939695229e-05
